City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kodiak,90,US,1538725980,100,39.95,-94.76,53.06,3.18
1,ilulissat,0,GL,1538725800,37,69.22,-51.1,21.2,20.8
2,rikitea,56,PF,1538729329,100,-23.12,-134.97,70.75,12.24
3,cape town,0,ZA,1538726400,49,-33.93,18.42,71.6,3.36
4,katsuura,75,JP,1538726400,83,33.93,134.5,78.8,21.92
5,atuona,32,PF,1538729330,100,-9.8,-139.03,79.48,10.56
6,hirara,75,JP,1538726400,83,24.8,125.28,78.8,8.05
7,albany,90,US,1538726880,58,42.65,-73.75,53.06,10.29
8,saint-ambroise,0,FR,1538728200,63,47.25,-0.65,60.8,3.36
9,thompson,40,CA,1538726400,73,55.74,-97.86,19.4,4.7
10,new norfolk,75,AU,1538728200,66,-42.78,147.06,53.6,2.24
11,great yarmouth,40,GB,1538727600,87,52.61,1.73,55.4,6.93
12,mandalgovi,48,MN,1538729333,59,45.76,106.27,36.64,17.49
13,mataura,76,NZ,1538729398,88,-46.19,168.86,44.91,11.23
14,hermanus,0,ZA,1538729263,30,-34.42,19.24,80.47,3.29
15,wright,75,US,1538727360,92,43.75,-105.48,37.94,8.05
16,cockburn town,48,TC,1538729162,100,21.46,-71.14,79.57,8.43
17,delta del tigre,0,UY,1538726400,71,-34.76,-56.41,51.8,6.93
18,kavieng,36,PG,1538729336,100,-2.57,150.8,79.75,5.86
19,busselton,36,AU,1538729262,100,-33.64,115.35,62.56,18.5
20,bani,0,PH,1538729336,84,15.89,120.27,80.29,6.98
21,hurricane,20,US,1538726160,72,37.18,-113.29,62.96,3.36
22,sao jose da coroa grande,92,BR,1538729337,91,-8.9,-35.15,74.17,5.64
23,vaini,92,IN,1538729337,67,15.34,74.49,84.43,6.53
24,lavrentiya,20,RU,1538729337,91,65.58,-170.99,46.09,20.74
25,juneau,90,US,1538727120,92,58.3,-134.42,44.6,5.82
26,jamestown,0,AU,1538729338,40,-33.21,138.6,58.06,5.19
27,saldanha,0,PT,1538729338,58,41.42,-6.55,67.42,4.18
28,santa cruz del sur,24,CU,1538729339,98,20.71,-78.0,71.92,8.21
29,sur,0,OM,1538729335,73,22.57,59.53,90.55,4.52
30,butaritari,8,KI,1538729339,100,3.07,172.79,85.24,9.44
31,bathsheba,40,BB,1538726400,74,13.22,-59.52,82.4,17.22
32,san ramon,100,NI,1538729340,99,12.92,-85.84,65.35,1.95
33,los andes,0,CL,1538726400,87,-32.83,-70.6,50.0,2.24
34,ranong,40,TH,1538726400,100,9.96,98.62,78.8,3.51
35,kruisfontein,8,ZA,1538729340,69,-34.0,24.73,69.13,11.01
36,nikolskoye,0,RU,1538726400,80,59.7,30.79,41.0,11.18
37,longyearbyen,75,NO,1538727600,79,78.22,15.63,24.8,6.93
38,izvoarele,0,RO,1538729341,53,45.55,27.77,60.49,4.52
39,broken hill,0,AU,1538729341,60,-31.97,141.45,61.93,8.1
40,puerto ayora,24,EC,1538729342,100,-0.74,-90.35,69.13,12.8
41,znamensk,90,RU,1538726400,87,54.62,21.23,55.4,13.42
42,axim,76,GH,1538729264,96,4.87,-2.24,78.67,9.22
43,muzhi,32,RU,1538729342,94,65.4,64.7,51.85,14.58
44,punta arenas,75,CL,1538726400,70,-53.16,-70.91,42.8,28.86
45,verkhnevilyuysk,68,RU,1538729343,71,63.45,120.31,34.3,3.18
46,arraial do cabo,100,BR,1538729343,100,-22.97,-42.02,71.47,12.68
47,ponta do sol,48,BR,1538729343,93,-20.63,-46.0,66.97,8.21
48,bredasdorp,8,ZA,1538726400,68,-34.53,20.04,69.8,13.87
49,cabo san lucas,0,MX,1538729344,100,22.89,-109.91,82.9,9.66
50,tasiilaq,0,GL,1538725800,63,65.61,-37.64,30.2,6.93
51,baker city,1,US,1538726160,16,44.77,-117.83,42.98,2.17
52,avarua,40,CK,1538726400,78,-21.21,-159.78,71.6,11.41
53,dikson,88,RU,1538729260,97,73.51,80.55,39.34,19.17
54,kalangala,20,UG,1538728200,65,-0.32,32.29,78.8,7.09
55,victoria,75,BN,1538728200,74,5.28,115.24,87.8,4.7
56,mar del plata,24,AR,1538729198,100,-46.43,-67.52,34.12,1.16
57,hualmay,64,PE,1538729346,96,-11.1,-77.61,55.63,1.28
58,kavaratti,92,IN,1538729263,100,10.57,72.64,78.31,7.54
59,bluff,76,AU,1538729346,36,-23.58,149.07,77.77,0.49
60,nishihara,90,JP,1538727960,93,35.74,139.53,66.2,8.05
61,maromitsa,92,RU,1538729347,90,59.87,48.01,38.17,8.66
62,jumla,12,NP,1538729347,71,29.28,82.18,45.73,1.61
63,cidreira,56,BR,1538729347,88,-30.17,-50.22,53.65,5.97
64,esperance,20,TT,1538726400,94,10.24,-61.45,78.8,6.42
65,anito,64,PH,1538729350,100,12.45,125.29,83.71,5.97
66,ushuaia,75,AR,1538726400,69,-54.81,-68.31,39.2,8.05
67,bethel,75,US,1538725980,100,60.79,-161.76,42.98,10.29
68,gao,0,ML,1538729352,52,16.28,-0.04,84.79,2.95
69,port alfred,0,ZA,1538729352,73,-33.59,26.89,69.94,9.33
70,airai,0,TL,1538729352,38,-8.93,125.41,83.53,2.17
71,port elizabeth,75,US,1538726160,87,39.31,-74.98,73.04,10.29
