City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,0,ZA,1542949988,71,-34.42,19.24,58.8,4.94
1,victoria,75,BN,1542947400,66,5.28,115.24,91.4,9.17
2,pimentel,92,BR,1542949990,95,-3.7,-45.5,75.4,2.71
3,galway,90,IE,1542949200,81,53.27,-9.05,42.8,9.17
4,giyani,92,ZA,1542949990,83,-23.32,30.73,65.55,9.42
5,midyat,90,TR,1542946800,100,37.42,41.36,50,4.5
6,kangaatsiaq,56,GL,1542949991,81,68.31,-53.46,33.96,26.87
7,souillac,0,FR,1542947400,87,45.6,-0.6,46.4,8.05
8,tasiilaq,64,GL,1542948600,100,65.61,-37.64,32,17.22
9,derzhavinsk,64,KZ,1542949993,90,51.1,66.31,20.95,11.21
10,stavern,90,NO,1542948600,100,59,10.03,24.8,4.7
11,maceio,20,BR,1542949200,83,-9.67,-35.74,73.4,6.93
12,busselton,32,AU,1542949994,97,-33.64,115.35,65.95,17.36
13,port elizabeth,1,US,1542945360,44,39.31,-74.98,23,8.05
14,lagoa,20,PT,1542947400,93,37.14,-8.45,53.6,2.24
15,bayir,20,TR,1542946800,71,37.27,28.22,57.2,4.7
16,faya,0,SA,1542945600,82,18.39,42.45,55.4,5.82
17,ushuaia,40,AR,1542949200,61,-54.81,-68.31,50,21.92
18,el alto,75,BO,1542949200,93,-16.5,-68.19,44.6,6.93
19,dingle,80,PH,1542949997,97,11,122.67,79.14,5.73
20,salalah,20,OM,1542945000,44,17.01,54.1,78.8,4.7
21,kayes,0,ML,1542949997,55,14.44,-11.44,69.91,6.51
22,cape town,0,ZA,1542947100,59,-33.93,18.42,64.4,12.75
23,ariogala,90,LT,1542948600,92,55.26,23.48,28.4,3.36
24,pangnirtung,88,CA,1542949999,98,66.15,-65.72,5.43,9.19
25,bambous virieux,20,MU,1542945600,65,-20.34,57.76,80.6,14.99
26,bredasdorp,0,ZA,1542945600,93,-34.53,20.04,51.8,5.82
27,urengoy,80,RU,1542950000,91,65.96,78.37,21.09,15.01
28,general roca,0,AR,1542945600,50,-39.03,-67.58,55.4,2.24
